analysis_neighborhood,Preschool,Public Elementary,Private Elementary,Other,total_schools
Mission,1,6,10,3,20
West of Twin Peaks,0,5,6,3,14
Sunset/Parkside,1,6,2,5,14
Outer Richmond,0,3,7,3,13
Bayview Hunters Point,1,4,1,7,13
Pacific Heights,0,2,4,4,10
Western Addition,1,2,1,6,10
Noe Valley,1,3,2,2,8
Excelsior,0,6,1,1,8
Portola,0,1,2,4,7
Potrero Hill,0,2,3,2,7
Castro/Upper Market,0,3,2,2,7
Lakeshore,0,1,4,2,7
Inner Richmond,0,3,2,2,7
Oceanview/Merced/Ingleside,0,2,2,2,6
Marina,1,2,2,1,6
South of Market,0,1,0,5,6
Financial District/South Beach,0,0,1,5,6
Bernal Heights,0,3,2,0,5
Chinatown,1,3,0,1,5
Haight Ashbury,0,2,1,2,5
Outer Mission,1,0,1,3,5
Inner Sunset,0,3,1,1,5
Russian Hill,1,2,0,1,4
Tenderloin,0,1,2,1,4
Hayes Valley,0,1,1,2,4
Glen Park,0,1,1,2,4
North Beach,0,2,1,1,4
McLaren Park,1,1,0,2,4
Lone Mountain/USF,0,1,1,1,3
Presidio,1,0,1,1,3
Visitacion Valley,0,1,1,0,2
Nob Hill,0,1,1,0,2
Mission Bay,0,0,1,0,1
Presidio Heights,0,0,1,0,1
Seacliff,0,0,1,0,1
Twin Peaks,0,1,0,0,1
